source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
CORUM,CORUM:306,"Ribosome, cytoplasmic",1.000975985621351e-20,True,"Ribosome, cytoplasmic",29,98,18,4007,0.1836734693877551,0.6206896551724138,query_1,['CORUM:0000000']
WP,WP:WP477,Cytoplasmic ribosomal proteins,1.5638486272390796e-16,True,Cytoplasmic ribosomal proteins,34,98,18,4007,0.1836734693877551,0.5294117647058824,query_1,['WP:000000']
REAC,REAC:R-HSA-156902,Peptide chain elongation,1.5638486272390796e-16,True,Peptide chain elongation,34,98,18,4007,0.1836734693877551,0.5294117647058824,query_1,['REAC:R-HSA-156842']
REAC,REAC:R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),1.7033392570810167e-16,True,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),40,98,19,4007,0.19387755102040816,0.475,query_1,['REAC:R-HSA-927802']
REAC,REAC:R-HSA-156842,Eukaryotic Translation Elongation,3.1583356701921166e-16,True,Eukaryotic Translation Elongation,35,98,18,4007,0.1836734693877551,0.5142857142857142,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-72764,Eukaryotic Translation Termination,6.196282198544148e-16,True,Eukaryotic Translation Termination,36,98,18,4007,0.1836734693877551,0.5,query_1,['REAC:R-HSA-72766']
REAC,REAC:R-HSA-192823,Viral mRNA Translation,6.196282198544148e-16,True,Viral mRNA Translation,36,98,18,4007,0.1836734693877551,0.5,query_1,['REAC:R-HSA-168273']
REAC,REAC:R-HSA-2408557,Selenocysteine synthesis,6.196282198544148e-16,True,Selenocysteine synthesis,36,98,18,4007,0.1836734693877551,0.5,query_1,['REAC:R-HSA-2408522']
REAC,REAC:R-HSA-72689,Formation of a pool of free 40S subunits,1.2533229554651347e-14,True,Formation of a pool of free 40S subunits,41,98,18,4007,0.1836734693877551,0.43902439024390244,query_1,['REAC:R-HSA-72737']
REAC,REAC:R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1.2854426527518911e-14,True,L13a-mediated translational silencing of Ceruloplasmin expression,48,98,19,4007,0.19387755102040816,0.3958333333333333,query_1,['REAC:R-HSA-72613']
REAC,REAC:R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,2.151467122973539e-14,True,Response of EIF2AK4 (GCN2) to amino acid deficiency,42,98,18,4007,0.1836734693877551,0.42857142857142855,query_1,['REAC:R-HSA-9711097']
GO:CC,GO:0022626,cytosolic ribosome,3.2594230492300416e-14,True,"""A ribosome located in the cytosol."" [GOC:mtg_sensu]",50,98,19,4007,0.19387755102040816,0.38,query_1,"['GO:0005829', 'GO:0005840']"
